,0,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
110,San Patricio,44,PY,1553469608,78,-26.98,-56.83,71.58,2.71
111,Talnakh,92,RU,1553469609,91,69.49,88.39,18.57,11.65
112,Lagoa,0,PT,1553469437,77,37.14,-8.45,61.0,8.05
113,Kapaa,75,US,1553469495,78,22.08,-159.32,77.0,13.87
114,Baneh,75,IR,1553468400,100,35.99,45.88,51.8,9.17
115,Kodiak,90,US,1553469442,100,39.95,-94.76,55.0,11.41
116,Lorengau,68,PG,1553469610,99,-2.02,147.27,82.47,8.97
117,Verkhnevilyuysk,0,RU,1553469610,64,63.45,120.31,3.18,4.16
118,Jurm,0,AF,1553469610,84,36.86,70.83,13.98,2.04
119,Haines Junction,0,CA,1553469611,51,60.75,-137.51,40.08,3.27
120,Cherskiy,0,RU,1553469611,60,68.75,161.3,1.38,5.17
121,Hofn,76,IS,1553469332,100,64.25,-15.21,36.93,8.97
122,Chuy,0,UY,1553469457,77,-33.69,-53.46,63.57,16.69
123,Georgetown,40,GY,1553468400,74,6.8,-58.16,82.4,13.87
124,Carnarvon,0,ZA,1553469469,51,-30.97,22.13,61.14,9.98
125,Torbay,75,CA,1553469427,86,47.66,-52.73,33.01,26.4
126,Praia da Vitoria,20,PT,1553469405,87,38.73,-27.07,59.0,9.42
127,Ust-Barguzin,0,RU,1553469612,72,53.41,109.03,4.44,1.92
128,Avera,1,US,1553469598,38,33.19,-82.53,77.0,5.82
129,Dikson,88,RU,1553469406,93,73.51,80.55,24.24,35.14
130,Saint Anthony,90,US,1553469518,86,43.97,-111.68,39.2,18.34
131,Hermanus,64,ZA,1553469364,96,-34.42,19.24,66.0,2.37
132,Manoel Urbano,8,BR,1553469523,90,-8.84,-69.26,78.15,1.92
133,Ordu,75,TR,1553464200,86,40.98,37.88,37.4,3.36
134,Akdepe,0,TM,1553468400,76,42.05,59.39,50.0,9.17
135,Tuktoyaktuk,75,CA,1553464800,79,69.44,-133.03,21.2,8.05
136,Joshimath,80,IN,1553469614,95,30.57,79.57,19.83,1.14
137,Norman Wells,90,CA,1553467500,99,65.28,-126.83,32.0,6.93
138,Barrow,92,AR,1553469614,83,-38.31,-60.23,56.91,13.0
139,Port Elizabeth,1,US,1553469613,57,39.31,-74.98,59.0,14.99
140,Saskylakh,64,RU,1553469414,70,71.97,114.09,-10.33,3.27
141,Lishui,92,CN,1553469614,100,28.45,119.91,47.28,0.92
142,Cidreira,20,BR,1553469550,69,-30.17,-50.22,72.03,10.54
143,Vardo,1,US,1553469379,18,39.62,-77.74,64.4,3.36
144,Male,56,UA,1553469615,78,50.74,33.7,32.79,7.52
145,Bethel,90,US,1553468160,100,60.79,-161.76,39.2,21.92
146,Goma,44,CD,1553469615,98,-1.67,29.23,58.8,2.82
147,Geraldton,5,CA,1553468400,21,49.72,-86.95,24.8,10.29
148,Okhotsk,24,RU,1553469616,75,59.36,143.24,24.51,4.83
149,Belaya Gora,64,RU,1553469616,88,68.54,146.19,-0.7,5.06
150,Nouadhibou,0,MR,1553464800,82,20.93,-17.03,64.4,3.36
151,Kolarovo,40,RU,1553469407,74,56.34,84.94,28.4,2.24
152,Hithadhoo,88,MV,1553469405,100,-0.6,73.08,83.28,8.19
153,Kieta,12,PG,1553469616,97,-6.22,155.63,82.47,4.72
154,Kavieng,64,PG,1553469617,100,-2.57,150.8,84.0,8.3
155,Srednekolymsk,20,RU,1553469523,71,67.46,153.71,0.93,3.49
156,Kaitangata,68,NZ,1553469617,79,-46.28,169.85,71.58,3.83
157,Xai-Xai,0,MZ,1553469617,100,-25.04,33.64,74.73,5.06
158,Gizo,75,IL,1553469593,87,31.8,34.94,52.0,16.11
159,Qaanaaq,0,GL,1553469467,74,77.48,-69.36,-25.36,6.96
160,Porto Novo,20,BR,1553468400,83,-23.68,-45.44,71.6,2.24
161,Ishigaki,75,JP,1553464800,83,24.34,124.16,71.6,13.87
162,Rocha,64,UY,1553469416,66,-34.48,-54.34,62.94,17.47
163,Deputatskiy,12,RU,1553469539,64,69.3,139.9,-9.61,5.95
164,Neryungri,64,RU,1553469550,65,56.66,124.71,5.79,14.23
165,Santo Antonio da Platina,48,BR,1553469618,55,-23.3,-50.08,77.7,6.4
166,Constitucion,5,MX,1553469615,5,23.99,-104.67,81.0,6.93
167,Miri,36,NG,1553469619,57,10.31,9.75,70.95,2.93
168,Saint-Philippe,90,CA,1553469606,74,45.36,-73.48,35.6,9.17
169,San Rafael,20,AR,1553469620,31,-34.61,-68.33,57.45,5.95
170,Mar del Plata,0,AR,1553469621,90,-46.43,-67.52,54.03,5.73
171,Khatanga,68,RU,1553469508,80,71.98,102.47,6.24,10.87
172,Fairbanks,40,US,1553469322,42,64.84,-147.72,53.01,2.71
173,Kibondo,0,TZ,1553469621,88,-3.59,30.72,58.08,3.04
174,Lucapa,92,AO,1553469622,96,-8.42,20.74,65.91,2.93
175,Flinders,0,AU,1553469435,53,-34.58,150.85,79.0,17.22
176,Laguna,5,MX,1553463720,16,27.52,-110.01,84.2,9.17
177,Richards Bay,36,ZA,1553469511,85,-28.77,32.06,73.11,9.75
178,Cayenne,90,GF,1553468400,78,4.94,-52.33,78.8,8.05
179,Kupang,20,ID,1553466600,94,-10.16,123.6,77.0,2.24
180,Nhulunbuy,40,AU,1553466600,79,-12.18,136.78,86.0,11.41
181,Marsh Harbour,76,BS,1553469609,100,26.54,-77.06,73.65,15.46
182,Vao,8,EE,1553469492,86,59.1,26.19,31.26,9.64
183,Vyshkov,0,RU,1553464800,59,52.48,31.69,35.6,8.95
184,Labuhan,36,ID,1553469531,85,-2.54,115.51,78.87,1.36
185,Jalu,0,LY,1553469448,49,29.03,21.55,59.61,12.44
186,Bartica,40,GY,1553468400,78,6.41,-58.62,78.8,6.93
187,Doctor Juan Leon Mallorquin,40,PY,1553468400,88,-25.4,-55.27,77.0,3.36
188,Storsteinnes,75,NO,1553467800,79,69.24,19.23,28.4,23.04
189,Nepomuk,90,CZ,1553469612,81,49.49,13.58,46.4,2.71
190,Katobu,0,ID,1553469624,93,-4.94,122.53,83.64,4.94
191,Ishikawa,0,JP,1553469006,64,37.14,140.45,51.01,4.7
192,Wicklow,40,IE,1553469586,70,53.0,-6.42,46.0,16.11
193,Abeche,0,TD,1553469625,21,13.83,20.83,78.51,12.55
194,Barrhead,90,CA,1553464800,92,54.12,-114.4,35.6,12.75
195,Souillac,20,FR,1553469490,66,45.6,-0.6,50.0,6.93
196,Santa Isabel,75,CO,1553464800,100,4.71,-75.1,77.0,4.7
197,Jizan,0,SA,1553464800,78,16.89,42.56,82.4,3.36
198,Mount Isa,40,AU,1553466600,69,-20.73,139.49,82.4,19.46
199,Jieshou,0,CN,1553469627,79,33.26,115.35,48.18,12.77
200,Fruitville,75,US,1553469623,64,45.71,-94.08,42.8,10.29
201,Port Macquarie,32,AU,1553469305,88,-31.43,152.91,84.99,3.36
202,Kabo,68,CF,1553469627,69,7.69,18.62,77.7,12.33
203,Cockburn Town,88,TC,1553469612,100,21.46,-71.14,77.88,18.81
204,Fairfield,1,US,1553469612,51,38.25,-122.04,66.99,5.82
205,Cardston,90,CA,1553469357,86,49.2,-113.32,34.0,5.82
206,Chicama,75,PE,1553468400,83,-7.84,-79.15,71.6,9.17
207,Aklavik,40,CA,1553468400,50,68.22,-135.01,33.8,2.24
208,Nador,0,MA,1553468400,93,35.17,-2.93,57.2,2.24
209,Naze,40,NG,1553464800,94,5.43,7.07,78.8,6.4
210,Katsuura,75,JP,1553464800,80,33.93,134.5,41.0,9.17
211,Mahebourg,75,MU,1553469538,78,-20.41,57.7,82.4,11.41
212,Alexandroupoli,0,GR,1553469612,76,40.85,25.88,39.99,0.13
213,Payo,12,ID,1553469630,87,-3.75,103.64,73.83,1.03
214,Lumeje,48,AO,1553469630,78,-11.56,20.78,68.97,3.27
215,Taltal,0,CL,1553469630,89,-25.41,-70.49,60.33,2.15
216,Pitimbu,0,BR,1553468400,83,-7.47,-34.81,80.6,5.82
217,Okha,92,RU,1553469631,95,53.59,142.95,22.08,12.44
218,Saquisili,90,EC,1553469407,93,-0.83,-78.67,50.0,6.93
219,Wajima,44,JP,1553469631,75,37.4,136.9,50.88,16.46
220,Agutaya,0,PH,1553469631,98,11.15,120.94,80.31,19.04
221,Buraydah,20,SA,1553464800,49,26.33,43.97,73.4,4.7
222,Petropavlovsk-Kamchatskiy,36,RU,1553466600,58,53.05,158.65,30.2,8.95
223,Ponta do Sol,20,BR,1553469472,87,-20.63,-46.0,68.43,2.93
224,Upernavik,0,GL,1553469632,100,72.79,-56.15,-0.61,26.87
225,Te Anau,92,NZ,1553469632,81,-45.41,167.72,64.65,10.54
226,Gravdal,40,NO,1553469522,80,59.79,5.78,39.2,21.92
227,Chernyshevskiy,0,RU,1553469632,64,63.01,112.47,-4.48,2.48
228,Adrar,0,DZ,1553464800,24,27.87,-0.29,68.0,9.17
229,Sergeyevka,44,KZ,1553469633,77,53.88,67.42,22.89,7.29
230,Roald,90,NO,1553469604,93,62.58,6.12,37.0,19.46
231,Palauig,0,PH,1553469633,73,15.44,119.9,79.41,4.38
232,San Cristobal,75,EC,1553469407,87,-0.39,-78.55,59.0,3.36
233,Mayo,75,CA,1553468400,86,63.59,-135.9,41.0,3.36
234,Bratsk,88,RU,1553469195,41,56.15,101.63,21.2,6.71
235,Panaba,0,MX,1553469635,33,21.28,-88.27,83.01,6.4
236,Najran,0,SA,1553464800,27,17.54,44.22,77.0,6.51
237,Kondinskoye,88,RU,1553469635,95,59.65,67.41,26.85,7.18
238,Isangel,75,VU,1553464800,70,-19.55,169.27,84.2,9.17
239,Cabedelo,0,BR,1553468400,83,-6.97,-34.84,80.6,5.82
240,Lakes Entrance,68,AU,1553469596,49,-37.88,147.99,73.99,13.56
241,Lompoc,1,US,1553469408,59,34.64,-120.46,68.0,9.17
242,Brownsville,40,US,1553469496,73,25.91,-97.49,80.6,20.8
243,Palembang,20,ID,1553466600,94,-2.99,104.76,77.0,4.7
244,Paamiut,76,GL,1553469525,82,61.99,-49.67,36.21,40.85
245,La Ronge,20,CA,1553464800,53,55.1,-105.3,26.6,6.93
246,Kahului,75,US,1553469621,78,20.89,-156.47,78.01,12.75
247,Ostrovnoy,56,RU,1553469637,86,68.05,39.51,27.93,12.66
248,Nome,90,US,1553469609,69,30.04,-94.42,75.2,9.17
249,Oranjemund,92,ZA,1553469637,92,-28.55,16.43,62.31,15.01
250,Montague,75,CA,1553469441,51,46.17,-62.65,39.2,13.87
251,Ozinki,80,RU,1553469638,97,51.2,49.73,32.34,12.44
252,Saraikela,0,IN,1553469638,68,22.7,85.93,59.52,2.59
253,Mareeba,40,AU,1553469489,83,-16.99,145.42,84.99,11.41
254,Saint-Pierre,0,FR,1553469188,83,48.95,4.24,41.0,11.41
255,Floro,88,NO,1553469530,93,61.6,5.03,37.99,2.24
256,Serenje,20,ZM,1553469639,87,-13.23,30.22,64.83,7.52
257,Yulara,64,AU,1553464800,47,-25.24,130.99,77.0,13.87
258,Abalak,68,NE,1553469639,29,15.46,6.28,76.35,10.42
259,Nanortalik,88,GL,1553469466,94,60.14,-45.24,31.26,39.73
260,Roebourne,100,AU,1553469639,89,-20.77,117.15,76.71,31.79
261,Damavand,75,IR,1553466600,44,35.72,52.07,57.2,4.7
262,Kosa,56,RU,1553469640,80,59.94,54.99,27.75,8.19
263,Broken Hill,40,AU,1553464800,72,-31.97,141.45,64.4,16.11
264,Jijiga,0,ET,1553469640,53,9.35,42.8,63.03,8.19
265,Lensk,56,RU,1553469640,73,60.71,114.91,5.34,3.38
266,Tall Kayf,90,TR,1553468400,87,37.08,41.07,48.2,18.34
267,Sainte-Rose,90,CA,1553469359,74,45.61,-73.79,34.0,6.93
268,Seidu,12,NG,1553469641,60,8.32,4.47,79.77,11.54
269,Kampot,40,KH,1553466600,74,10.62,104.18,82.4,13.87
270,Salalah,40,OM,1553464200,78,17.01,54.1,78.8,6.93
271,Presidente Medici,64,BR,1553469641,85,-11.18,-61.9,79.68,0.58
272,Piranshahr,92,IR,1553469641,98,36.7,45.14,33.78,1.7
273,Mogadishu,80,SO,1553469388,97,2.04,45.34,83.01,12.33
274,Mahibadhoo,88,MV,1553469642,100,3.78,72.97,83.82,11.43
275,Bilma,36,NE,1553469531,17,18.69,12.92,73.47,13.56
276,Dongkan,12,CN,1553469642,79,34.0,119.83,48.36,6.51
277,Moussoro,0,TD,1553469642,23,13.64,16.49,80.49,12.21
278,Raudeberg,88,NO,1553469604,93,61.99,5.14,37.99,2.24
279,Goderich,68,CA,1553469623,87,43.74,-81.71,36.0,1.01
280,Airai,8,TL,1553469492,77,-8.93,125.41,77.25,2.15
281,Sechura,8,PE,1553469643,72,-5.56,-80.82,76.17,10.42
282,Hailun,80,CN,1553469643,43,47.46,126.97,27.75,8.19
283,Den Helder,90,NL,1553469608,75,52.96,4.76,46.99,21.92
284,Aykhal,0,RU,1553469644,39,65.95,111.51,-13.84,2.71
285,Port-Gentil,20,GA,1553468400,94,-0.72,8.78,77.0,2.24
286,Kloulklubed,75,PW,1553467800,78,7.04,134.26,80.6,4.7
287,Nemuro,0,JP,1553469644,90,43.32,145.57,34.05,22.28
288,Khani,75,GE,1553466600,93,41.96,42.96,39.2,2.24
289,Lazaro Cardenas,5,MX,1553469541,12,28.39,-105.62,82.4,9.17
290,Nioro,36,GM,1553469645,42,13.79,-15.05,78.6,10.98
291,Taoudenni,56,ML,1553469645,34,22.68,-3.98,70.32,2.59
292,Estelle,75,US,1553469641,54,32.87,-97.01,82.4,20.8
293,Ancud,0,CL,1553468400,76,-41.87,-73.83,53.6,5.82
294,Hoganas,92,SE,1553469636,80,56.2,12.56,42.01,12.75
295,Nishihara,75,JP,1553469537,52,35.74,139.53,52.0,13.87
296,Cesis,8,LV,1553469616,75,57.31,25.27,33.01,3.0
297,Bathsheba,75,BB,1553468400,83,13.22,-59.52,77.0,14.99
298,Namatanai,48,PG,1553469647,100,-3.66,152.44,81.75,7.74
299,Bousse,0,FR,1553469645,64,49.28,6.2,44.6,6.93
300,Lavrentiya,92,RU,1553469647,96,65.58,-170.99,32.61,18.81
301,Raseiniai,90,LT,1553467800,90,55.38,23.12,33.8,13.87
302,Port Said,88,EG,1553469648,33,25.34,30.55,66.81,8.19
303,Honiara,76,SB,1553469462,92,-9.43,159.96,79.41,2.59
304,Bud,75,NO,1553469397,93,62.91,6.91,35.6,11.41
305,Isiro,32,CD,1553469648,93,2.77,27.62,70.77,2.15
306,Kaitong,12,CN,1553469648,44,44.81,123.15,36.3,11.99
307,Miraflores,88,CO,1553469546,96,5.2,-73.14,55.11,1.92
308,Oktyabrskoye,40,RU,1553469627,74,56.73,85.44,28.4,2.24
309,Comodoro Rivadavia,20,AR,1553464800,77,-45.87,-67.48,59.0,13.87
310,Chebsara,88,RU,1553469649,93,59.2,38.84,28.92,6.06
311,Muros,0,ES,1553469604,53,42.77,-9.06,59.0,4.7
312,Jiangyou,68,CN,1553469649,88,31.78,104.73,38.37,3.71
313,Tocopilla,8,CL,1553469650,98,-22.09,-70.2,63.93,4.94
314,Ekhabi,92,RU,1553469650,95,53.51,142.97,22.08,12.44
315,Santa Rosalia,0,IT,1553469646,81,38.07,13.27,57.99,2.24
316,Boende,92,CD,1553469473,90,-0.28,20.88,75.09,2.48
317,Sioux Lookout,1,CA,1553468400,19,50.1,-91.92,26.6,6.93
318,Ponta Delgada,20,PT,1553469533,82,37.73,-25.67,57.2,8.05
319,Meulaboh,20,ID,1553469387,100,4.14,96.13,76.98,4.27
320,Bondo,12,CD,1553469383,95,3.81,23.69,73.11,2.15
321,Gurmatkal,0,IN,1553469651,70,16.87,77.4,70.86,3.27
322,Hwange,24,ZW,1553469651,66,-18.35,26.5,69.15,3.15
323,Padang,20,ID,1553466600,100,-0.92,100.36,73.4,3.36
324,Portland,20,US,1553469025,38,45.52,-122.67,63.0,4.7
325,Tinskoy,88,RU,1553469652,83,56.15,96.92,27.39,6.17
326,Kaeo,56,NZ,1553468885,90,-35.1,173.78,66.0,7.0
327,Batagay-Alyta,0,RU,1553469653,50,67.8,130.41,-11.23,3.15
328,Oum Hadjer,0,TD,1553469653,19,13.3,19.7,82.2,13.56
329,Kautokeino,24,NO,1553469653,79,69.01,23.04,20.73,8.41
330,Sao Filipe,0,CV,1553469550,100,14.9,-24.5,69.15,10.2
331,Tiksi,44,RU,1553469653,61,71.64,128.87,-7.72,3.94
332,San Ignacio,0,CL,1553468400,31,-36.8,-72.03,73.4,8.05
333,Pallisa,12,UG,1553469654,91,1.17,33.71,66.81,0.92
334,Viedma,76,AR,1553469654,69,-40.81,-62.99,54.48,6.73
335,Candolim,0,IN,1553469655,100,15.52,73.76,73.11,3.6
336,Anadyr,90,RU,1553469195,85,64.73,177.51,23.0,22.37
337,Limbang,75,BN,1553466600,88,4.75,115.01,80.6,4.7
338,Orlea,5,RO,1553468400,75,43.75,24.38,41.0,4.7
339,Alvorada,0,BR,1553469646,60,-30.0,-51.08,75.2,6.93
340,Cap-aux-Meules,20,CA,1553464800,69,47.38,-61.86,33.8,19.46
341,Samarai,80,PG,1553469656,100,-10.62,150.67,80.13,15.12
342,Boa Vista,0,BR,1553468400,34,2.82,-60.67,93.2,5.82
343,Marzuq,0,YE,1553469657,76,14.4,46.47,49.71,4.94
344,Acapulco,5,MX,1553464200,70,16.86,-99.88,84.2,11.41
345,Grimma,40,DE,1553469637,74,51.24,12.73,43.0,8.05
346,Plaridel,32,PH,1553469657,98,13.96,122.02,79.41,11.88
347,Boromo,68,BF,1553469658,32,11.74,-2.93,80.4,4.38
348,Los Llanos de Aridane,92,ES,1553469406,59,28.66,-17.92,60.8,6.93
349,Hambantota,0,LK,1553469392,100,6.12,81.12,78.15,8.19
350,Shimoda,40,JP,1553469612,42,34.7,138.93,70.0,6.93
351,Huarmey,24,PE,1553469658,76,-10.07,-78.15,69.78,3.6
352,Ucluelet,20,CA,1553469325,87,48.94,-125.55,60.01,6.93
353,Tuatapere,92,NZ,1553469005,86,-46.13,167.69,66.99,3.0
354,Ustka,20,PL,1553469659,87,54.58,16.86,38.73,14.67
355,Coihaique,0,CL,1553468400,76,-45.58,-72.07,53.6,3.36
356,Novomykolayivka,24,UA,1553469659,74,48.54,32.26,30.81,4.94
357,Port Lincoln,24,AU,1553469660,84,-34.72,135.86,63.66,23.85
358,Yola,56,NG,1553469660,60,9.26,12.45,78.33,4.72
359,Santiago del Estero,36,AR,1553469627,73,-27.8,-64.26,74.01,3.27
360,Edson,90,CA,1553469120,75,53.59,-116.44,41.0,5.82
361,Sur,0,OM,1553469661,100,22.57,59.53,71.4,12.1
362,Vila Franca do Campo,20,PT,1553469353,82,37.72,-25.43,57.2,8.05
363,Tateyama,75,JP,1553469596,42,36.66,137.31,52.0,10.29
364,Noyabrsk,80,RU,1553469661,92,63.2,75.45,20.73,10.09
365,Yenagoa,64,NG,1553469661,91,4.92,6.26,76.17,6.4
366,Peleduy,32,RU,1553469662,68,59.63,112.75,1.2,3.27
367,Tipuani,76,BO,1553469662,86,-15.56,-68.02,69.42,1.25
368,Udachnyy,0,RU,1553469662,54,66.42,112.4,-11.68,2.37
369,Vila,0,IT,1553469634,37,45.18,8.4,57.99,3.36
370,Port Blair,12,IN,1553469551,100,11.67,92.75,81.75,7.52
371,Nanchang,36,CN,1553469663,100,28.68,115.89,46.02,4.05
372,Saldanha,0,PT,1553469478,59,41.42,-6.55,46.38,7.85
373,Port Hedland,90,AU,1553466720,94,-20.31,118.58,77.0,24.16
